trait,location,latitude,longitude,coordinate_type
A/Chicken/MO/24-038617-001/2024|H5N1|USA-MO|2024-12-23|avian|D1.1,USA-MO,38.5487,-92.446,centroid
A/Chicken/MO/24-038617-002/2024|H5N1|USA-MO|2024-12-23|avian|D1.1,USA-MO,38.5487,-92.446,centroid
A/Chicken/MO/24-038619-001/2024|H5N1|USA-MO|2024-12-23|avian|D1.1,USA-MO,38.5487,-92.446,centroid
A/chicken/Mississippi/24-038164-001/2024|H5N1|USA-MS|2024-12-19|avian|D1.1,USA-MS,32.8657,-89.7189,centroid
A/Chicken/MS/24-038907-001/2024|H5N1|USA-MS|2024-12-27|avian|D1.1,USA-MS,32.8657,-89.7189,centroid
A/Chicken/MS/24-038969-001/2024|H5N1|USA-MS|2024-12-27|avian|D1.1,USA-MS,32.8657,-89.7189,centroid
A/chicken/MT/24-032160-001/2024|H5N1|USA-MT|2024-10-24|avian|D1.1,USA-MT,46.9965,-110.044,centroid
A/chicken/MT/24-032160-002-original/2024|H5N1|USA-MT|2024-10-24|avian|D1.1,USA-MT,46.9965,-110.044,centroid
A/chicken/MT/24-032160-003/2024|H5N1|USA-MT|2024-10-24|avian|D1.1,USA-MT,46.9965,-110.044,centroid
A/chicken/MT/24-032160-004/2024|H5N1|USA-MT|2024-10-24|avian|D1.1,USA-MT,46.9965,-110.044,centroid
A/Chicken/NC/25-000300-001/2025|H5N1|USA-NC|2025-01-06|avian|D1.1,USA-NC,35.6152,-78.866,centroid
A/Chicken/NC/25-000300-002/2025|H5N1|USA-NC|2025-01-06|avian|D1.1,USA-NC,35.6152,-78.866,centroid
A/chicken/ND/24-034804-001-original/2024|H5N1|USA-ND|2024-11-21|avian|D1.1,USA-ND,47.4675,-100.302,centroid
A/turkey/North_Dakota/24-035295-001/2024|H5N1|USA-ND|2024-11-25|avian|D1.1,USA-ND,47.4675,-100.302,centroid
A/turkey/Nebraska/24-036225-001-R/2024|H5N1|USA-NE|2024-12-04|avian|D1.1,USA-NE,41.5002,-99.6855,centroid
A/turkey/Nebraska/24-036225-002-R2/2024|H5N1|USA-NE|2024-12-04|avian|D1.1,USA-NE,41.5002,-99.6855,centroid
A/turkey/Nebraska/24-036590-001/2024|H5N1|USA-NE|2024-12-08|avian|D1.1,USA-NE,41.5002,-99.6855,centroid
A/turkey/Nebraska/24-036590-002/2024|H5N1|USA-NE|2024-12-08|avian|D1.1,USA-NE,41.5002,-99.6855,centroid
A/turkey/Nebraska/24-036590-004/2024|H5N1|USA-NE|2024-12-08|avian|D1.1,USA-NE,41.5002,-99.6855,centroid
A/turkey/Nebraska/24-036590-005/2024|H5N1|USA-NE|2024-12-08|avian|D1.1,USA-NE,41.5002,-99.6855,centroid
A/turkey/Nebraska/24-036590-006/2024|H5N1|USA-NE|2024-12-08|avian|D1.1,USA-NE,41.5002,-99.6855,centroid
A/turkey/Nebraska/24-036590-007/2024|H5N1|USA-NE|2024-12-08|avian|D1.1,USA-NE,41.5002,-99.6855,centroid
A/turkey/Nebraska/24-036590-008/2024|H5N1|USA-NE|2024-12-08|avian|D1.1,USA-NE,41.5002,-99.6855,centroid
